P085 bank22B hash=d9d8fd9fc8f883b3 peak=0.823754 rms=0.332677
P086 bank22C hash=9be7c535b22eb1af peak=0.857992 rms=0.323342
P087 bank22D hash=25ce169895dd1817 peak=0.909089 rms=0.316881
P088 bank23A hash=a4932921fb1d2187 peak=0.844146 rms=0.325898
P089 bank23B hash=7669dd856568f873 peak=0.899354 rms=0.338266
P090 bank23C hash=88a6f8568606416f peak=0.844553 rms=0.321214
P091 bank23D hash=7bcdd9f2938390c7 peak=0.862184 rms=0.316109
P092 bank24A hash=2bea45983a1e353b peak=0.884273 rms=0.330345
P093 bank24B hash=58e25d7a681887d3 peak=0.916260 rms=0.344707
P094 bank24C hash=5aeeef23295826f3 peak=0.922640 rms=0.321204
P095 bank24D hash=9e0db671af21fea3 peak=0.789395 rms=0.318851
P096 bank25A hash=1449d1c892481a83 peak=0.803763 rms=0.336558
P097 bank25B hash=826b1404ee34bd17 peak=0.895896 rms=0.339530
P098 bank25C hash=45999f1ecee79f1b peak=0.954571 rms=0.320719
P099 bank25D hash=ac1f71ed62baeb5f peak=0.804712 rms=0.320384
P100 bank26A hash=f27c3bd01147d50b peak=0.820485 rms=0.334132
P101 bank26B hash=1e69223eb97f22b3 peak=0.945037 rms=0.332617
P102 bank26C hash=e48ee3c93a6ab5b3 peak=0.856800 rms=0.316379
P103 bank26D hash=9f4737e67ccabb93 peak=0.868435 rms=0.324663
P104 bank27A hash=0d66d02f817e128f peak=0.901276 rms=0.334110
P105 bank27B hash=9bab21c0bd2f827f peak=0.936221 rms=0.325788
P106 bank27C hash=77af7062ac4c44d3 peak=0.863600 rms=0.315884
P107 bank27D hash=3c8abe0be0382577 peak=0.886595 rms=0.328090
P108 bank28A hash=fd6f2960990bc2a3 peak=0.914511 rms=0.341593
P109 bank28B hash=fa3a800e2d71a827 peak=0.915085 rms=0.321530
P110 bank28C hash=1bb0e2dfc36a593b peak=0.831662 rms=0.318430
P111 bank28D hash=ba75424e0db1f217 peak=0.772846 rms=0.331062
P112 bank29A hash=1ef8e855d78b9c0f peak=0.910977 rms=0.341599
P113 bank29B hash=ac07a67c82ece8b7 peak=0.845455 rms=0.318165
P114 bank29C hash=69e24ebfceae6cab peak=0.799044 rms=0.319711
P115 bank29D hash=f344cc51c36fc2df peak=0.851344 rms=0.334814
P116 bank30A hash=c0eb54ec4843fdb3 peak=0.929732 rms=0.340887
P117 bank30B hash=15f6c184301bc53f peak=0.883297 rms=0.318131
P118 bank30C hash=37c1ea408ac13dff peak=0.862624 rms=0.322668
P119 bank30D hash=9fa4d7e284fb0f43 peak=0.861529 rms=0.334854
P120 bank31A hash=3b2de5d8994e95ef peak=0.943956 rms=0.330544
P121 bank31B hash=1955e6c5ac8e3093 peak=0.829506 rms=0.318069
P122 bank31C hash=1cf8ebe95ddcf593 peak=0.838200 rms=0.324332
P123 bank31D hash=048c72d2906d0cc7 peak=0.909128 rms=0.336852
P124 bank32A hash=4d2706a4c01aa893 peak=0.905092 rms=0.323595
P125 bank32B hash=f74e1b46add4a273 peak=0.907355 rms=0.317777
P126 bank32C hash=d7119293ffa5ef07 peak=0.790159 rms=0.326379
P127 bank32D hash=0c89c3047d6e55f3 peak=0.914167 rms=0.340820
ALL  hash=c636196f39f94f7a presets=128
