P085 bank22B hash=721831c6917a7fb7 peak=0.823747 rms=0.332674
P086 bank22C hash=4a3633d13f592bdb peak=0.857984 rms=0.323339
P087 bank22D hash=b73ba29357b2fd6f peak=0.909081 rms=0.316878
P088 bank23A hash=c657d8816f5a55f3 peak=0.844138 rms=0.325895
P089 bank23B hash=c5dfb25b4625995b peak=0.899346 rms=0.338263
P090 bank23C hash=2c97877e9ca7d4d7 peak=0.844545 rms=0.321211
P091 bank23D hash=bb23cb8b3f993eab peak=0.862176 rms=0.316106
P092 bank24A hash=2b36cbeb7d61fc7f peak=0.884264 rms=0.330342
P093 bank24B hash=364d7d7964d778af peak=0.916251 rms=0.344704
P094 bank24C hash=c8c41fd5d9a6b287 peak=0.922631 rms=0.321201
P095 bank24D hash=cc4d761e85bbf4df peak=0.789387 rms=0.318848
P096 bank25A hash=4b4dbfca315b91bf peak=0.803756 rms=0.336555
P097 bank25B hash=6b7fc9dfa401882b peak=0.895887 rms=0.339527
P098 bank25C hash=a4cd12355ec4ad03 peak=0.954563 rms=0.320716
P099 bank25D hash=6684f658c4309327 peak=0.804705 rms=0.320381
P100 bank26A hash=ebf9aa8ed8e16ebf peak=0.820477 rms=0.334129
P101 bank26B hash=7c807a58a9551cc3 peak=0.945028 rms=0.332614
P102 bank26C hash=313777adf6fec37b peak=0.856792 rms=0.316376
P103 bank26D hash=853d91311e000067 peak=0.868427 rms=0.324660
P104 bank27A hash=09f063336d8a8a13 peak=0.901268 rms=0.334107
P105 bank27B hash=40e4418cea54853b peak=0.936212 rms=0.325785
P106 bank27C hash=eb3024704c91a917 peak=0.863592 rms=0.315881
P107 bank27D hash=bd6a577c44e0ca5f peak=0.886587 rms=0.328087
P108 bank28A hash=1a4a8c1486af2aa3 peak=0.914502 rms=0.341590
P109 bank28B hash=fc52874f586bdb0b peak=0.915077 rms=0.321527
P110 bank28C hash=b2904237540f19eb peak=0.831655 rms=0.318427
P111 bank28D hash=17aa1b9dbbe2bb53 peak=0.772839 rms=0.331058
P112 bank29A hash=43c3dbfdd542eb2f peak=0.910969 rms=0.341596
P113 bank29B hash=7ad4ba8c0e4e906f peak=0.845447 rms=0.318162
P114 bank29C hash=7b24668105eefd5f peak=0.799036 rms=0.319708
P115 bank29D hash=7f9887ff9a37e983 peak=0.851336 rms=0.334811
P116 bank30A hash=47ef522bd2dee76f peak=0.929723 rms=0.340884
P117 bank30B hash=71a3a04de250bb23 peak=0.883289 rms=0.318128
P118 bank30C hash=f3323be12c2b7ecf peak=0.862616 rms=0.322665
P119 bank30D hash=00c5b982dca676cf peak=0.861521 rms=0.334851
P120 bank31A hash=3982b78525354ae7 peak=0.943947 rms=0.330541
P121 bank31B hash=8e24663648fff757 peak=0.829498 rms=0.318066
P122 bank31C hash=d340cfe1f8cddd9b peak=0.838193 rms=0.324329
P123 bank31D hash=4da8209fe7ebb31f peak=0.909119 rms=0.336849
P124 bank32A hash=3194cc7edd9334d3 peak=0.905083 rms=0.323592
P125 bank32B hash=d8f9ffa1087f8787 peak=0.907346 rms=0.317774
P126 bank32C hash=9c450c8668dd0073 peak=0.790152 rms=0.326376
P127 bank32D hash=aae35a73bef7a48b peak=0.914158 rms=0.340817
ALL  hash=ef02409148842000 presets=128
